template,status,hasValue,hasPlaceholder,error
"Agravo Interno Trf1.docx","NÃO APLICÁVEL",false,false,""
"modelo_base.docx","NÃO APLICÁVEL",false,false,""
"modelo_contrato.docx","NÃO APLICÁVEL",false,false,""
"modelo_hipossuficiencia.docx","NÃO APLICÁVEL",false,false,""
"modelo_procuracao.docx","NÃO APLICÁVEL",false,false,""
"peticao_agravamento_instrumento.docx","OK",true,false,""
"peticao_aposentadoria_deficiencia.docx","NÃO APLICÁVEL",false,false,""
"peticao_aposentadoria_especial.docx","NÃO APLICÁVEL",false,false,""
"peticao_aposentadoria_hibrida.docx","NÃO APLICÁVEL",false,false,""
"peticao_aposentadoria_invalidez.docx","NÃO APLICÁVEL",false,false,""
"peticao_aposentadoria_rural.docx","NÃO APLICÁVEL",false,false,""
"peticao_aposentadoria_tc.docx","NÃO APLICÁVEL",false,false,""
"peticao_aposentadoria_tempo_contribuicao.docx","OK",true,false,""
"peticao_aposentadoria_urbana.docx","NÃO APLICÁVEL",false,false,""
"peticao_auxilio_acidentario.docx","NÃO APLICÁVEL",false,false,""
"peticao_auxilio_doenca.docx","NÃO APLICÁVEL",false,false,""
"peticao_auxilio_reclusao.docx","NÃO APLICÁVEL",false,false,""
"peticao_averbacao.docx","NÃO APLICÁVEL",false,false,""
"peticao_averbacao_tempo.docx","OK",true,false,""
"peticao_calculo_beneficio.docx","OK",true,false,""
"peticao_conversao_tempo_rural.docx","OK",true,false,""
"peticao_embargos_declaracao.docx","NÃO APLICÁVEL",false,false,""
"peticao_generica.docx","NÃO APLICÁVEL",false,false,""
"peticao_isencao_ir.docx","OK",true,false,""
"peticao_loas_deficiente.docx","NÃO APLICÁVEL",false,false,""
"peticao_loas_idoso.docx","OK",true,false,""
"peticao_pensao_morte.docx","NÃO APLICÁVEL",false,false,""
"peticao_planejamento.docx","NÃO APLICÁVEL",false,false,""
"peticao_reconsideracao_administrativa.docx","OK",true,false,""
"peticao_recurso_ordinario.docx","NÃO APLICÁVEL",false,false,""
"peticao_requerimento_administrativo.docx","OK",true,false,""
"peticao_restabelecimento_beneficio.docx","OK",true,false,""
"peticao_revisao_beneficio.docx","NÃO APLICÁVEL",false,false,""
"peticao_revisao_teto.docx","OK",true,false,""
"peticao_revisao_vida_toda.docx","NÃO APLICÁVEL",false,false,""
"peticao_salario_maternidade.docx","NÃO APLICÁVEL",false,false,""
"rotina_contestacao_inss.docx","NÃO APLICÁVEL",false,false,""
"rotina_contrarrazoes_apelacao.docx","OK",true,false,""
"rotina_contrarrazoes_especial.docx","OK",true,false,""
"rotina_contrarrazoes_extraordinario.docx","OK",true,false,""
"rotina_contrarrazoes_inominado.docx","NÃO APLICÁVEL",false,false,""
"rotina_contrarrazoes_ordinario.docx","OK",true,false,""
"rotina_contrarrazoes_tnu.docx","OK",true,false,""
"rotina_cumprimento_ceab.docx","OK",true,false,""
"rotina_cumprimento_sentenca.docx","NÃO APLICÁVEL",false,false,""
"rotina_desarquivamento.docx","OK",true,false,""
"rotina_desistencia.docx","OK",true,false,""
"rotina_esclarecimentos_perito.docx","OK",true,false,""
"rotina_extincao_acordo.docx","OK",true,false,""
"rotina_habilitacao_obito.docx","OK",true,false,""
"rotina_habilitacao_rpv.docx","OK",true,false,""
"rotina_impugnacao_calculos.docx","OK",true,false,""
"rotina_impugnacao_laudo.docx","OK",true,false,""
"rotina_inconformidade.docx","OK",true,false,""
"rotina_intimacao_parte.docx","OK",true,false,""
"rotina_juntada.docx","NÃO APLICÁVEL",false,false,""
"rotina_justica_gratuita.docx","OK",true,false,""
"rotina_manifestacao_laudo_inicial.docx","OK",true,false,""
"rotina_memoria_calculo.docx","OK",true,false,""
"rotina_nova_pericia.docx","OK",true,false,""
"rotina_prioridade.docx","OK",true,false,""
"rotina_prova_testemunhal.docx","OK",true,false,""
"rotina_quesitos.docx","OK",true,false,""
"rotina_reconsideracao.docx","OK",true,false,""
"rotina_recurso_apelacao.docx","OK",true,false,""
"rotina_recurso_crps.docx","OK",true,false,""
"rotina_recurso_especial.docx","NÃO APLICÁVEL",false,false,""
"rotina_recurso_extraordinario.docx","OK",true,false,""
"rotina_recurso_inominado.docx","OK",true,false,""
"rotina_recurso_ordinario.docx","NÃO APLICÁVEL",false,false,""
"rotina_retificacao_polo.docx","OK",true,false,""
"rotina_revisao_acordao.docx","OK",true,false,""
"rotina_tutela_urgencia.docx","OK",true,false,""
"rotina_vista_autos.docx","OK",true,false,""
